ID,Sport,Emmer (80/20),Expected RPE,TSS,Totale Duur (min),Totale Afstand (m),Type Training,Doelwit Evenement,Tijd 1,Afstand 1,Zone 1,Materiaal 1,Slag 1,Tijd 2,Afstand 2,Zone 2,Materiaal 2,Slag 2,Tijd 3,Afstand 3,Zone 3,Materiaal 3,Slag 3,Tijd 4,Afstand 4,Zone 4,Materiaal 4,Slag 4,Tijd 5,Afstand 5,Zone 5,Materiaal 5,Slag 5,Tijd 6,Afstand 6,Zone 6,Materiaal 6,Slag 6,Tijd 7,Afstand 7,Zone 7,Materiaal 7,Slag 7,Tijd 8,Afstand 8,Zone 8,Materiaal 8,Slag 8,Tijd 9,Afstand 9,Zone 9,Materiaal 9,Slag 9,Tijd 10,Afstand 10,Zone 10,Materiaal 10,Slag 10,Tijd 11,Afstand 11,Zone 11,Materiaal 11,Slag 11,Tijd 12,Afstand 12,Zone 12,Materiaal 12,Slag 12,Tijd 13,Afstand 13,Zone 13,Materiaal 13,Slag 13,Tijd 14,Afstand 14,Zone 14,Materiaal 14,Slag 14,Tijd 15,Afstand 15,Zone 15,Materiaal 15,Slag 15,Tijd 16,Afstand 16,Zone 16,Materiaal 16,Slag 16,Tijd 17,Afstand 17,Zone 17,Materiaal 17,Slag 17,Tijd 18,Afstand 18,Zone 18,Materiaal 18,Slag 18,Tijd 19,Afstand 19,Zone 19,Materiaal 19,Slag 19,Tijd 20,Afstand 20,Zone 20,Materiaal 20,Slag 20,Tijd 21,Afstand 21,Zone 21,Materiaal 21,Slag 21,Tijd 22,Afstand 22,Zone 22,Materiaal 22,Slag 22,Tijd 23,Afstand 23,Zone 23,Materiaal 23,Slag 23,Tijd 24,Afstand 24,Zone 24,Materiaal 24,Slag 24,Tijd 25,Afstand 25,Zone 25,Materiaal 25,Slag 25,Tijd 26,Afstand 26,Zone 26,Materiaal 26,Slag 26,Tijd 27,Afstand 27,Zone 27,Materiaal 27,Slag 27,Tijd 28,Afstand 28,Zone 28,Materiaal 28,Slag 28,Tijd 29,Afstand 29,Zone 29,Materiaal 29,Slag 29,Tijd 30,Afstand 30,Zone 30,Materiaal 30,Slag 30
SWI-017,Zwemmen,80%,Zone 2 · RPE 4,28,,2500,Wisselduur,Halve,,500m,Zone 1 · RPE 2-3,,Vrije Slag,,500m,Zone 2 · RPE 4,Pull Buoy,Vrije Slag,,500m,Zone 2 · RPE 4,,Vrije Slag,,500m,Zone 2 · RPE 4,Pull Buoy,Vrije Slag,,500m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-018,Zwemmen,80%,Zone 2 · RPE 4,21,,2000,Wisselduur,Halve,,500m,Zone 1 · RPE 2-3,,Vrije Slag,,500m,Zone 2 · RPE 4,Pull Buoy,Vrije Slag,,500m,Zone 2 · RPE 4,,Vrije Slag,,500m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-019,Zwemmen,20%,Zone 4 · RPE 7-8,53,,2500,Drempel,Halve,,500m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,550m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-020,Zwemmen,20%,Zone 4 · RPE 7-8,39,,2000,Drempel,Halve,,500m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,550m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-021,Zwemmen,20%,Zone 4 · RPE 7-8,53,,2500,Drempel,Halve,,500m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,550m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-022,Zwemmen,20%,Zone 4 · RPE 7-8,39,,2000,Drempel,Halve,,500m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,550m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-023,Zwemmen,20%,Zone 4 · RPE 7-8,53,,2500,Drempel,Halve,,500m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,550m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-024,Zwemmen,20%,Zone 4 · RPE 7-8,39,,2000,Drempel,Halve,,500m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 4 · RPE 7-8,,Vrije Slag,,550m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-025,Zwemmen,20%,Zone 5 · RPE 9-10,19,,1500,Weerstand,Sprint,,500m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,700m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-026,Zwemmen,20%,Zone 5 · RPE 9-10,19,,1500,Weerstand,Sprint,,500m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,700m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-027,Zwemmen,20%,Zone 5 · RPE 9-10,19,,1500,Weerstand,Sprint,,500m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,700m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-028,Zwemmen,20%,Zone 5 · RPE 9-10,27,,2000,Weerstand,Sprint,,500m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,700m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-029,Zwemmen,20%,Zone 5 · RPE 9-10,27,,2000,Weerstand,Sprint,,500m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,700m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-030,Zwemmen,20%,Zone 5 · RPE 9-10,27,,2000,Weerstand,Sprint,,500m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,Paddles,Vrije Slag,,700m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-031,Zwemmen,80%,Zone 1 · RPE 2-3,9,,700,Basis,Fitheid,,50m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-032,Zwemmen,80%,Zone 1 · RPE 2-3,11,,800,Basis,Fitheid,,50m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-033,Zwemmen,80%,Zone 1 · RPE 2-3,9,,700,Basis,Fitheid,,50m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-034,Zwemmen,80%,Zone 1 · RPE 2-3,8,,600,Basis,Fitheid,,50m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-035,Zwemmen,80%,Zone 1 · RPE 2-3,11,,800,Basis,Fitheid,,50m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-036,Zwemmen,80%,Zone 2 · RPE 4,7,,600,Basis,Sprint,,100m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,100m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-037,Zwemmen,80%,Zone 2 · RPE 4,10,,800,Basis,Sprint,,100m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,100m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-038,Zwemmen,80%,Zone 2 · RPE 4,10,,800,Basis,Sprint,,100m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,100m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-039,Zwemmen,80%,Zone 2 · RPE 4,10,,800,Basis,Sprint,,100m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,100m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-040,Zwemmen,80%,Zone 2 · RPE 4,7,,600,Basis,Sprint,,100m,Zone 1 · RPE 2-3,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,50m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 2 · RPE 4,,Schoolslag,,100m,Zone 1 · RPE 2-3,,Schoolslag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-041,Zwemmen,80%,Zone 2 · RPE 4,18,,1500,Duur,Halve,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-042,Zwemmen,80%,Zone 2 · RPE 4,18,,1500,Duur,Halve,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-043,Zwemmen,80%,Zone 2 · RPE 4,11,,1000,Duur,Halve,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-044,Zwemmen,80%,Zone 2 · RPE 4,11,,1000,Duur,Halve,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-045,Zwemmen,80%,Zone 2 · RPE 4,14,,1200,Duur,Halve,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWI-046,Zwemmen,20%,Zone 5 · RPE 9-10,19,,1000,VO2-Max,Sprint,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,100m,Zone 2 · RPE 4,,Vrije Slag,,50m,Zone 5 · RPE 9-10,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,50m,Zone 5 · RPE 9-10,,Vrije Slag,,50m,Zone 1 · RPE 2-3,,Vrije Slag,,200m,Zone 1 · RPE 2-3,,Vrije Slag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
